Code Domaine,Domaine,Code zone,Zone,Code Élément,Élément,Code Produit,Produit,Code année,Année,Unité,Valeur,Symbole,Description du Symbole,Note
"MK","Indicateurs macro","AFG","Afghanistan","6119","Valeur (US $)","22014","Produit intérieur brut par habitant","2016","2016","","583.882867","Fc","Donnée calculée",""
"MK","Indicateurs macro","ZAF","Afrique du Sud","6119","Valeur (US $)","22014","Produit intérieur brut par habitant","2016","2016","","5274.257165","Fc","Donnée calculée",""
"MK","Indicateurs macro","ALB","Albanie","6119","Valeur (US $)","22014","Produit intérieur brut par habitant","2016","2016","","4054.154458","Fc","Donnée calculée",""
"MK","Indicateurs macro","DZA","Algérie","6119","Valeur (US $)","22014","Produit intérieur brut par habitant","2016","2016","","3916.882764","Fc","Donnée calculée",""
"MK","Indicateurs macro","DEU","Allemagne","6119","Valeur (US $)","22014","Produit intérieur brut par habitant","2016","2016","","42456.329124","Fc","Donnée calculée",""
"MK","Indicateurs macro","AND","Andorre","6119","Valeur (US $)","22014","Produit intérieur brut par habitant","2016","2016","","36987.184769","Fc","Donnée calculée",""
"MK","Indicateurs macro","AGO","Angola","6119","Valeur (US $)","22014","Produit intérieur brut par habitant","2016","2016","","3710.679823","Fc","Donnée calculée",""
"MK","Indicateurs macro","AIA","Anguilla","6119","Valeur (US $)","22014","Produit intérieur brut par habitant","2016","2016","","22861.045085","Fc","Donnée calculée",""
"MK","Indicateurs macro","ATG","Antigua-et-Barbuda","6119","Valeur (US $)","22014","Produit intérieur brut par habitant","2016","2016","","14462.307076","Fc","Donnée calculée",""
"MK","Indicateurs macro","SAU","Arabie saoudite","6119","Valeur (US $)","22014","Produit intérieur brut par habitant","2016","2016","","19817.302447","Fc","Donnée calculée",""
"MK","Indicateurs macro","ARG","Argentine","6119","Valeur (US $)","22014","Produit intérieur brut par habitant","2016","2016","","12449.216852","Fc","Donnée calculée",""
"MK","Indicateurs macro","ARM","Arménie","6119","Valeur (US $)","22014","Produit intérieur brut par habitant","2016","2016","","3614.688727","Fc","Donnée calculée",""
"MK","Indicateurs macro","ABW","Aruba","6119","Valeur (US $)","22014","Produit intérieur brut par habitant","2016","2016","","25443.505238","Fc","Donnée calculée",""
"MK","Indicateurs macro","AUS","Australie","6119","Valeur (US $)","22014","Produit intérieur brut par habitant","2016","2016","","54069.10899","Fc","Donnée calculée",""
"MK","Indicateurs macro","AUT","Autriche","6119","Valeur (US $)","22014","Produit intérieur brut par habitant","2016","2016","","44856.961174","Fc","Donnée calculée",""
"MK","Indicateurs macro","AZE","Azerbaïdjan","6119","Valeur (US $)","22014","Produit intérieur brut par habitant","2016","2016","","3891.592887","Fc","Donnée calculée",""
"MK","Indicateurs macro","BHS","Bahamas","6119","Valeur (US $)","22014","Produit intérieur brut par habitant","2016","2016","","28785.477671","Fc","Donnée calculée",""
"MK","Indicateurs macro","BHR","Bahreïn","6119","Valeur (US $)","22014","Produit intérieur brut par habitant","2016","2016","","22579.096541","Fc","Donnée calculée",""
"MK","Indicateurs macro","BGD","Bangladesh","6119","Valeur (US $)","22014","Produit intérieur brut par habitant","2016","2016","","1355.229326","Fc","Donnée calculée",""
"MK","Indicateurs macro","BRB","Barbade","6119","Valeur (US $)","22014","Produit intérieur brut par habitant","2016","2016","","15974.937499","Fc","Donnée calculée",""
"MK","Indicateurs macro","BLR","Bélarus","6119","Valeur (US $)","22014","Produit intérieur brut par habitant","2016","2016","","5000.833454","Fc","Donnée calculée",""
"MK","Indicateurs macro","BEL","Belgique","6119","Valeur (US $)","22014","Produit intérieur brut par habitant","2016","2016","","41199.12422","Fc","Donnée calculée",""
"MK","Indicateurs macro","BLZ","Belize","6119","Valeur (US $)","22014","Produit intérieur brut par habitant","2016","2016","","4744.736397","Fc","Donnée calculée",""
"MK","Indicateurs macro","BEN","Bénin","6119","Valeur (US $)","22014","Produit intérieur brut par habitant","2016","2016","","818.009036","Fc","Donnée calculée",""
"MK","Indicateurs macro","BMU","Bermudes","6119","Valeur (US $)","22014","Produit intérieur brut par habitant","2016","2016","","99363.360685","Fc","Donnée calculée",""
"MK","Indicateurs macro","BTN","Bhoutan","6119","Valeur (US $)","22014","Produit intérieur brut par habitant","2016","2016","","2773.551845","Fc","Donnée calculée",""
"MK","Indicateurs macro","BOL","Bolivie (État plurinational de)","6119","Valeur (US $)","22014","Produit intérieur brut par habitant","2016","2016","","3104.956085","Fc","Donnée calculée",""
"MK","Indicateurs macro","BIH","Bosnie-Herzégovine","6119","Valeur (US $)","22014","Produit intérieur brut par habitant","2016","2016","","4808.299368","Fc","Donnée calculée",""
"MK","Indicateurs macro","BWA","Botswana","6119","Valeur (US $)","22014","Produit intérieur brut par habitant","2016","2016","","6917.448337","Fc","Donnée calculée",""
"MK","Indicateurs macro","BRA","Brésil","6119","Valeur (US $)","22014","Produit intérieur brut par habitant","2016","2016","","8648.692042","Fc","Donnée calculée",""
"MK","Indicateurs macro","BRN","Brunéi Darussalam","6119","Valeur (US $)","22014","Produit intérieur brut par habitant","2016","2016","","26938.503384","Fc","Donnée calculée",""
"MK","Indicateurs macro","BGR","Bulgarie","6119","Valeur (US $)","22014","Produit intérieur brut par habitant","2016","2016","","7465.426387","Fc","Donnée calculée",""
"MK","Indicateurs macro","BFA","Burkina Faso","6119","Valeur (US $)","22014","Produit intérieur brut par habitant","2016","2016","","627.203986","Fc","Donnée calculée",""
