Code Domaine,Domaine,Code zone,Zone,Code Élément,Élément,Code Produit,Produit,Code année,Année,Unité,Valeur,Symbole,Description du Symbole,Note
"OA","Séries temporelles annuelles","AFG","Afghanistan","511","Population totale","3010","Population-Estimations","2015","2015","1000 personnes","33736.494","X","Sources internationales sûres","UNDESA, Population Division – World Population Prospects, the 2017 Revision"
"OA","Séries temporelles annuelles","AFG","Afghanistan","511","Population totale","3010","Population-Estimations","2016","2016","1000 personnes","34656.032","X","Sources internationales sûres","UNDESA, Population Division – World Population Prospects, the 2017 Revision"
"OA","Séries temporelles annuelles","ZAF","Afrique du Sud","511","Population totale","3010","Population-Estimations","2015","2015","1000 personnes","55291.225","X","Sources internationales sûres","UNDESA, Population Division – World Population Prospects, the 2017 Revision"
"OA","Séries temporelles annuelles","ZAF","Afrique du Sud","511","Population totale","3010","Population-Estimations","2016","2016","1000 personnes","56015.473","X","Sources internationales sûres","UNDESA, Population Division – World Population Prospects, the 2017 Revision"
"OA","Séries temporelles annuelles","ALB","Albanie","511","Population totale","3010","Population-Estimations","2015","2015","1000 personnes","2923.352","X","Sources internationales sûres","UNDESA, Population Division – World Population Prospects, the 2017 Revision"
"OA","Séries temporelles annuelles","ALB","Albanie","511","Population totale","3010","Population-Estimations","2016","2016","1000 personnes","2926.348","X","Sources internationales sûres","UNDESA, Population Division – World Population Prospects, the 2017 Revision"
"OA","Séries temporelles annuelles","DZA","Algérie","511","Population totale","3010","Population-Estimations","2015","2015","1000 personnes","39871.528","X","Sources internationales sûres","UNDESA, Population Division – World Population Prospects, the 2017 Revision"
"OA","Séries temporelles annuelles","DZA","Algérie","511","Population totale","3010","Population-Estimations","2016","2016","1000 personnes","40606.052","X","Sources internationales sûres","UNDESA, Population Division – World Population Prospects, the 2017 Revision"
"OA","Séries temporelles annuelles","DEU","Allemagne","511","Population totale","3010","Population-Estimations","2015","2015","1000 personnes","81707.789","X","Sources internationales sûres","UNDESA, Population Division – World Population Prospects, the 2017 Revision"
"OA","Séries temporelles annuelles","DEU","Allemagne","511","Population totale","3010","Population-Estimations","2016","2016","1000 personnes","81914.672","X","Sources internationales sûres","UNDESA, Population Division – World Population Prospects, the 2017 Revision"
"OA","Séries temporelles annuelles","AND","Andorre","511","Population totale","3010","Population-Estimations","2015","2015","1000 personnes","78.014","X","Sources internationales sûres","UNDESA, Population Division – World Population Prospects, the 2017 Revision"
"OA","Séries temporelles annuelles","AND","Andorre","511","Population totale","3010","Population-Estimations","2016","2016","1000 personnes","77.281","X","Sources internationales sûres","UNDESA, Population Division – World Population Prospects, the 2017 Revision"
"OA","Séries temporelles annuelles","AGO","Angola","511","Population totale","3010","Population-Estimations","2015","2015","1000 personnes","27859.305","X","Sources internationales sûres","UNDESA, Population Division – World Population Prospects, the 2017 Revision"
"OA","Séries temporelles annuelles","AGO","Angola","511","Population totale","3010","Population-Estimations","2016","2016","1000 personnes","28813.463","X","Sources internationales sûres","UNDESA, Population Division – World Population Prospects, the 2017 Revision"
"OA","Séries temporelles annuelles","AIA","Anguilla","511","Population totale","3010","Population-Estimations","2015","2015","1000 personnes","14.611","X","Sources internationales sûres","UNDESA, Population Division – World Population Prospects, the 2017 Revision"
"OA","Séries temporelles annuelles","AIA","Anguilla","511","Population totale","3010","Population-Estimations","2016","2016","1000 personnes","14.764","X","Sources internationales sûres","UNDESA, Population Division – World Population Prospects, the 2017 Revision"
"OA","Séries temporelles annuelles","ATG","Antigua-et-Barbuda","511","Population totale","3010","Population-Estimations","2015","2015","1000 personnes","99.923","X","Sources internationales sûres","UNDESA, Population Division – World Population Prospects, the 2017 Revision"
"OA","Séries temporelles annuelles","ATG","Antigua-et-Barbuda","511","Population totale","3010","Population-Estimations","2016","2016","1000 personnes","100.963","X","Sources internationales sûres","UNDESA, Population Division – World Population Prospects, the 2017 Revision"
"OA","Séries temporelles annuelles","SAU","Arabie saoudite","511","Population totale","3010","Population-Estimations","2015","2015","1000 personnes","31557.144","X","Sources internationales sûres","UNDESA, Population Division – World Population Prospects, the 2017 Revision"
"OA","Séries temporelles annuelles","SAU","Arabie saoudite","511","Population totale","3010","Population-Estimations","2016","2016","1000 personnes","32275.687","X","Sources internationales sûres","UNDESA, Population Division – World Population Prospects, the 2017 Revision"
"OA","Séries temporelles annuelles","ARG","Argentine","511","Population totale","3010","Population-Estimations","2015","2015","1000 personnes","43417.765","X","Sources internationales sûres","UNDESA, Population Division – World Population Prospects, the 2017 Revision"
"OA","Séries temporelles annuelles","ARG","Argentine","511","Population totale","3010","Population-Estimations","2016","2016","1000 personnes","43847.43","X","Sources internationales sûres","UNDESA, Population Division – World Population Prospects, the 2017 Revision"
"OA","Séries temporelles annuelles","ARM","Arménie","511","Population totale","3010","Population-Estimations","2015","2015","1000 personnes","2916.95","X","Sources internationales sûres","UNDESA, Population Division – World Population Prospects, the 2017 Revision"
"OA","Séries temporelles annuelles","ARM","Arménie","511","Population totale","3010","Population-Estimations","2016","2016","1000 personnes","2924.816","X","Sources internationales sûres","UNDESA, Population Division – World Population Prospects, the 2017 Revision"
"OA","Séries temporelles annuelles","ABW","Aruba","511","Population totale","3010","Population-Estimations","2015","2015","1000 personnes","104.341","X","Sources internationales sûres","UNDESA, Population Division – World Population Prospects, the 2017 Revision"
"OA","Séries temporelles annuelles","ABW","Aruba","511","Population totale","3010","Population-Estimations","2016","2016","1000 personnes","104.822","X","Sources internationales sûres","UNDESA, Population Division – World Population Prospects, the 2017 Revision"
"OA","Séries temporelles annuelles","AUS","Australie","511","Population totale","3010","Population-Estimations","2015","2015","1000 personnes","23799.556","X","Sources internationales sûres","UNDESA, Population Division – World Population Prospects, the 2017 Revision"
"OA","Séries temporelles annuelles","AUS","Australie","511","Population totale","3010","Population-Estimations","2016","2016","1000 personnes","24125.848","X","Sources internationales sûres","UNDESA, Population Division – World Population Prospects, the 2017 Revision"
"OA","Séries temporelles annuelles","AUT","Autriche","511","Population totale","3010","Population-Estimations","2015","2015","1000 personnes","8678.657","X","Sources internationales sûres","UNDESA, Population Division – World Population Prospects, the 2017 Revision"
"OA","Séries temporelles annuelles","AUT","Autriche","511","Population totale","3010","Population-Estimations","2016","2016","1000 personnes","8712.137","X","Sources internationales sûres","UNDESA, Population Division – World Population Prospects, the 2017 Revision"
"OA","Séries temporelles annuelles","AZE","Azerbaïdjan","511","Population totale","3010","Population-Estimations","2015","2015","1000 personnes","9617.484","X","Sources internationales sûres","UNDESA, Population Division – World Population Prospects, the 2017 Revision"
"OA","Séries temporelles annuelles","AZE","Azerbaïdjan","511","Population totale","3010","Population-Estimations","2016","2016","1000 personnes","9725.376","X","Sources internationales sûres","UNDESA, Population Division – World Population Prospects, the 2017 Revision"
"OA","Séries temporelles annuelles","BHS","Bahamas","511","Population totale","3010","Population-Estimations","2015","2015","1000 personnes","386.838","X","Sources internationales sûres","UNDESA, Population Division – World Population Prospects, the 2017 Revision"
"OA","Séries temporelles annuelles","BHS","Bahamas","511","Population totale","3010","Population-Estimations","2016","2016","1000 personnes","391.232","X","Sources internationales sûres","UNDESA, Population Division – World Population Prospects, the 2017 Revision"
"OA","Séries temporelles annuelles","BHR","Bahreïn","511","Population totale","3010","Population-Estimations","2015","2015","1000 personnes","1371.855","X","Sources internationales sûres","UNDESA, Population Division – World Population Prospects, the 2017 Revision"
"OA","Séries temporelles annuelles","BHR","Bahreïn","511","Population totale","3010","Population-Estimations","2016","2016","1000 personnes","1425.171","X","Sources internationales sûres","UNDESA, Population Division – World Population Prospects, the 2017 Revision"
"OA","Séries temporelles annuelles","BGD","Bangladesh","511","Population totale","3010","Population-Estimations","2015","2015","1000 personnes","161200.886","X","Sources internationales sûres","UNDESA, Population Division – World Population Prospects, the 2017 Revision"
"OA","Séries temporelles annuelles","BGD","Bangladesh","511","Population totale","3010","Population-Estimations","2016","2016","1000 personnes","162951.56","X","Sources internationales sûres","UNDESA, Population Division – World Population Prospects, the 2017 Revision"
"OA","Séries temporelles annuelles","BRB","Barbade","511","Population totale","3010","Population-Estimations","2015","2015","1000 personnes","284.217","X","Sources internationales sûres","UNDESA, Population Division – World Population Prospects, the 2017 Revision"
"OA","Séries temporelles annuelles","BRB","Barbade","511","Population totale","3010","Population-Estimations","2016","2016","1000 personnes","284.996","X","Sources internationales sûres","UNDESA, Population Division – World Population Prospects, the 2017 Revision"
"OA","Séries temporelles annuelles","BLR","Bélarus","511","Population totale","3010","Population-Estimations","2015","2015","1000 personnes","9485.772","X","Sources internationales sûres","UNDESA, Population Division – World Population Prospects, the 2017 Revision"
"OA","Séries temporelles annuelles","BLR","Bélarus","511","Population totale","3010","Population-Estimations","2016","2016","1000 personnes","9480.042","X","Sources internationales sûres","UNDESA, Population Division – World Population Prospects, the 2017 Revision"
"OA","Séries temporelles annuelles","BEL","Belgique","511","Population totale","3010","Population-Estimations","2015","2015","1000 personnes","11287.94","X","Sources internationales sûres","UNDESA, Population Division – World Population Prospects, the 2017 Revision"
"OA","Séries temporelles annuelles","BEL","Belgique","511","Population totale","3010","Population-Estimations","2016","2016","1000 personnes","11358.379","X","Sources internationales sûres","UNDESA, Population Division – World Population Prospects, the 2017 Revision"
"OA","Séries temporelles annuelles","BLZ","Belize","511","Population totale","3010","Population-Estimations","2015","2015","1000 personnes","359.288","X","Sources internationales sûres","UNDESA, Population Division – World Population Prospects, the 2017 Revision"
"OA","Séries temporelles annuelles","BLZ","Belize","511","Population totale","3010","Population-Estimations","2016","2016","1000 personnes","366.954","X","Sources internationales sûres","UNDESA, Population Division – World Population Prospects, the 2017 Revision"
"OA","Séries temporelles annuelles","BEN","Bénin","511","Population totale","3010","Population-Estimations","2015","2015","1000 personnes","10575.952","X","Sources internationales sûres","UNDESA, Population Division – World Population Prospects, the 2017 Revision"
"OA","Séries temporelles annuelles","BEN","Bénin","511","Population totale","3010","Population-Estimations","2016","2016","1000 personnes","10872.298","X","Sources internationales sûres","UNDESA, Population Division – World Population Prospects, the 2017 Revision"
"OA","Séries temporelles annuelles","BMU","Bermudes","511","Population totale","3010","Population-Estimations","2015","2015","1000 personnes","62.003","X","Sources internationales sûres","UNDESA, Population Division – World Population Prospects, the 2017 Revision"
"OA","Séries temporelles annuelles","BMU","Bermudes","511","Population totale","3010","Population-Estimations","2016","2016","1000 personnes","61.666","X","Sources internationales sûres","UNDESA, Population Division – World Population Prospects, the 2017 Revision"
"OA","Séries temporelles annuelles","BTN","Bhoutan","511","Population totale","3010","Population-Estimations","2015","2015","1000 personnes","787.386","X","Sources internationales sûres","UNDESA, Population Division – World Population Prospects, the 2017 Revision"
"OA","Séries temporelles annuelles","BTN","Bhoutan","511","Population totale","3010","Population-Estimations","2016","2016","1000 personnes","797.765","X","Sources internationales sûres","UNDESA, Population Division – World Population Prospects, the 2017 Revision"
"OA","Séries temporelles annuelles","BOL","Bolivie (État plurinational de)","511","Population totale","3010","Population-Estimations","2015","2015","1000 personnes","10724.705","X","Sources internationales sûres","UNDESA, Population Division – World Population Prospects, the 2017 Revision"
"OA","Séries temporelles annuelles","BOL","Bolivie (État plurinational de)","511","Population totale","3010","Population-Estimations","2016","2016","1000 personnes","10887.882","X","Sources internationales sûres","UNDESA, Population Division – World Population Prospects, the 2017 Revision"
"OA","Séries temporelles annuelles","BIH","Bosnie-Herzégovine","511","Population totale","3010","Population-Estimations","2015","2015","1000 personnes","3535.961","X","Sources internationales sûres","UNDESA, Population Division – World Population Prospects, the 2017 Revision"
"OA","Séries temporelles annuelles","BIH","Bosnie-Herzégovine","511","Population totale","3010","Population-Estimations","2016","2016","1000 personnes","3516.816","X","Sources internationales sûres","UNDESA, Population Division – World Population Prospects, the 2017 Revision"
"OA","Séries temporelles annuelles","BWA","Botswana","511","Population totale","3010","Population-Estimations","2015","2015","1000 personnes","2209.197","X","Sources internationales sûres","UNDESA, Population Division – World Population Prospects, the 2017 Revision"
"OA","Séries temporelles annuelles","BWA","Botswana","511","Population totale","3010","Population-Estimations","2016","2016","1000 personnes","2250.26","X","Sources internationales sûres","UNDESA, Population Division – World Population Prospects, the 2017 Revision"
"OA","Séries temporelles annuelles","BRA","Brésil","511","Population totale","3010","Population-Estimations","2015","2015","1000 personnes","205962.108","X","Sources internationales sûres","UNDESA, Population Division – World Population Prospects, the 2017 Revision"
"OA","Séries temporelles annuelles","BRA","Brésil","511","Population totale","3010","Population-Estimations","2016","2016","1000 personnes","207652.865","X","Sources internationales sûres","UNDESA, Population Division – World Population Prospects, the 2017 Revision"
"OA","Séries temporelles annuelles","BRN","Brunéi Darussalam","511","Population totale","3010","Population-Estimations","2015","2015","1000 personnes","417.542","X","Sources internationales sûres","UNDESA, Population Division – World Population Prospects, the 2017 Revision"
"OA","Séries temporelles annuelles","BRN","Brunéi Darussalam","511","Population totale","3010","Population-Estimations","2016","2016","1000 personnes","423.196","X","Sources internationales sûres","UNDESA, Population Division – World Population Prospects, the 2017 Revision"
"OA","Séries temporelles annuelles","BGR","Bulgarie","511","Population totale","3010","Population-Estimations","2015","2015","1000 personnes","7177.396","X","Sources internationales sûres","UNDESA, Population Division – World Population Prospects, the 2017 Revision"
"OA","Séries temporelles annuelles","BGR","Bulgarie","511","Population totale","3010","Population-Estimations","2016","2016","1000 personnes","7131.494","X","Sources internationales sûres","UNDESA, Population Division – World Population Prospects, the 2017 Revision"
"OA","Séries temporelles annuelles","BFA","Burkina Faso","511","Population totale","3010","Population-Estimations","2015","2015","1000 personnes","18110.624","X","Sources internationales sûres","UNDESA, Population Division – World Population Prospects, the 2017 Revision"
"OA","Séries temporelles annuelles","BFA","Burkina Faso","511","Population totale","3010","Population-Estimations","2016","2016","1000 personnes","18646.433","X","Sources internationales sûres","UNDESA, Population Division – World Population Prospects, the 2017 Revision"
