Code Domaine,Domaine,Code zone,Zone,Code Élément,Élément,Code Produit,Produit,Code année,Année,Unité,Valeur,Symbole,Description du Symbole
"FS","Données de la sécurité alimentaire","AFG","Afghanistan","6125","Valeur","21032","Stabilité politique et absence de violence/terrorisme (indice)","2016","2016","indice","-2.75","X","Sources internationales sûres"
"FS","Données de la sécurité alimentaire","ZAF","Afrique du Sud","6125","Valeur","21032","Stabilité politique et absence de violence/terrorisme (indice)","2016","2016","indice","-0.13","X","Sources internationales sûres"
"FS","Données de la sécurité alimentaire","ALB","Albanie","6125","Valeur","21032","Stabilité politique et absence de violence/terrorisme (indice)","2016","2016","indice","0.26","X","Sources internationales sûres"
"FS","Données de la sécurité alimentaire","DZA","Algérie","6125","Valeur","21032","Stabilité politique et absence de violence/terrorisme (indice)","2016","2016","indice","-1.14","X","Sources internationales sûres"
"FS","Données de la sécurité alimentaire","DEU","Allemagne","6125","Valeur","21032","Stabilité politique et absence de violence/terrorisme (indice)","2016","2016","indice","0.76","X","Sources internationales sûres"
"FS","Données de la sécurité alimentaire","AND","Andorre","6125","Valeur","21032","Stabilité politique et absence de violence/terrorisme (indice)","2016","2016","indice","1.4","X","Sources internationales sûres"
"FS","Données de la sécurité alimentaire","AGO","Angola","6125","Valeur","21032","Stabilité politique et absence de violence/terrorisme (indice)","2016","2016","indice","-0.39","X","Sources internationales sûres"
"FS","Données de la sécurité alimentaire","ATG","Antigua-et-Barbuda","6125","Valeur","21032","Stabilité politique et absence de violence/terrorisme (indice)","2016","2016","indice","1.01","X","Sources internationales sûres"
"FS","Données de la sécurité alimentaire","SAU","Arabie saoudite","6125","Valeur","21032","Stabilité politique et absence de violence/terrorisme (indice)","2016","2016","indice","-0.5","X","Sources internationales sûres"
"FS","Données de la sécurité alimentaire","ARG","Argentine","6125","Valeur","21032","Stabilité politique et absence de violence/terrorisme (indice)","2016","2016","indice","0.22","X","Sources internationales sûres"
"FS","Données de la sécurité alimentaire","ARM","Arménie","6125","Valeur","21032","Stabilité politique et absence de violence/terrorisme (indice)","2016","2016","indice","-0.6","X","Sources internationales sûres"
"FS","Données de la sécurité alimentaire","AUS","Australie","6125","Valeur","21032","Stabilité politique et absence de violence/terrorisme (indice)","2016","2016","indice","0.96","X","Sources internationales sûres"
"FS","Données de la sécurité alimentaire","AUT","Autriche","6125","Valeur","21032","Stabilité politique et absence de violence/terrorisme (indice)","2016","2016","indice","0.82","X","Sources internationales sûres"
"FS","Données de la sécurité alimentaire","AZE","Azerbaïdjan","6125","Valeur","21032","Stabilité politique et absence de violence/terrorisme (indice)","2016","2016","indice","-0.87","X","Sources internationales sûres"
"FS","Données de la sécurité alimentaire","BHS","Bahamas","6125","Valeur","21032","Stabilité politique et absence de violence/terrorisme (indice)","2016","2016","indice","0.9","X","Sources internationales sûres"
"FS","Données de la sécurité alimentaire","BHR","Bahreïn","6125","Valeur","21032","Stabilité politique et absence de violence/terrorisme (indice)","2016","2016","indice","-0.86","X","Sources internationales sûres"
"FS","Données de la sécurité alimentaire","BGD","Bangladesh","6125","Valeur","21032","Stabilité politique et absence de violence/terrorisme (indice)","2016","2016","indice","-1.24","X","Sources internationales sûres"
"FS","Données de la sécurité alimentaire","BRB","Barbade","6125","Valeur","21032","Stabilité politique et absence de violence/terrorisme (indice)","2016","2016","indice","0.96","X","Sources internationales sûres"
"FS","Données de la sécurité alimentaire","BLR","Bélarus","6125","Valeur","21032","Stabilité politique et absence de violence/terrorisme (indice)","2016","2016","indice","0.12","X","Sources internationales sûres"
"FS","Données de la sécurité alimentaire","BEL","Belgique","6125","Valeur","21032","Stabilité politique et absence de violence/terrorisme (indice)","2016","2016","indice","0.48","X","Sources internationales sûres"
"FS","Données de la sécurité alimentaire","BLZ","Belize","6125","Valeur","21032","Stabilité politique et absence de violence/terrorisme (indice)","2016","2016","indice","0.06","X","Sources internationales sûres"
"FS","Données de la sécurité alimentaire","BEN","Bénin","6125","Valeur","21032","Stabilité politique et absence de violence/terrorisme (indice)","2016","2016","indice","0.05","X","Sources internationales sûres"
"FS","Données de la sécurité alimentaire","BMU","Bermudes","6125","Valeur","21032","Stabilité politique et absence de violence/terrorisme (indice)","2016","2016","indice","1","X","Sources internationales sûres"
"FS","Données de la sécurité alimentaire","BTN","Bhoutan","6125","Valeur","21032","Stabilité politique et absence de violence/terrorisme (indice)","2016","2016","indice","0.99","X","Sources internationales sûres"
"FS","Données de la sécurité alimentaire","BOL","Bolivie (État plurinational de)","6125","Valeur","21032","Stabilité politique et absence de violence/terrorisme (indice)","2016","2016","indice","-0.21","X","Sources internationales sûres"
"FS","Données de la sécurité alimentaire","BIH","Bosnie-Herzégovine","6125","Valeur","21032","Stabilité politique et absence de violence/terrorisme (indice)","2016","2016","indice","-0.38","X","Sources internationales sûres"
"FS","Données de la sécurité alimentaire","BWA","Botswana","6125","Valeur","21032","Stabilité politique et absence de violence/terrorisme (indice)","2016","2016","indice","1.09","X","Sources internationales sûres"
"FS","Données de la sécurité alimentaire","BRA","Brésil","6125","Valeur","21032","Stabilité politique et absence de violence/terrorisme (indice)","2016","2016","indice","-0.45","X","Sources internationales sûres"
"FS","Données de la sécurité alimentaire","BRN","Brunéi Darussalam","6125","Valeur","21032","Stabilité politique et absence de violence/terrorisme (indice)","2016","2016","indice","1.26","X","Sources internationales sûres"
"FS","Données de la sécurité alimentaire","BGR","Bulgarie","6125","Valeur","21032","Stabilité politique et absence de violence/terrorisme (indice)","2016","2016","indice","0.03","X","Sources internationales sûres"
"FS","Données de la sécurité alimentaire","BFA","Burkina Faso","6125","Valeur","21032","Stabilité politique et absence de violence/terrorisme (indice)","2016","2016","indice","-0.95","X","Sources internationales sûres"
"FS","Données de la sécurité alimentaire","BDI","Burundi","6125","Valeur","21032","Stabilité politique et absence de violence/terrorisme (indice)","2016","2016","indice","-2.08","X","Sources internationales sûres"
"FS","Données de la sécurité alimentaire","CPV","Cabo Verde","6125","Valeur","21032","Stabilité politique et absence de violence/terrorisme (indice)","2016","2016","indice","0.88","X","Sources internationales sûres"
"FS","Données de la sécurité alimentaire","KHM","Cambodge","6125","Valeur","21032","Stabilité politique et absence de violence/terrorisme (indice)","2016","2016","indice","0.18","X","Sources internationales sûres"
"FS","Données de la sécurité alimentaire","CMR","Cameroun","6125","Valeur","21032","Stabilité politique et absence de violence/terrorisme (indice)","2016","2016","indice","-0.95","X","Sources internationales sûres"
"FS","Données de la sécurité alimentaire","CAN","Canada","6125","Valeur","21032","Stabilité politique et absence de violence/terrorisme (indice)","2016","2016","indice","1.24","X","Sources internationales sûres"
"FS","Données de la sécurité alimentaire","CHL","Chili","6125","Valeur","21032","Stabilité politique et absence de violence/terrorisme (indice)","2016","2016","indice","0.51","X","Sources internationales sûres"
"FS","Données de la sécurité alimentaire","HKG","Chine - RAS de Hong-Kong","6125","Valeur","21032","Stabilité politique et absence de violence/terrorisme (indice)","2016","2016","indice","0.84","X","Sources internationales sûres"
"FS","Données de la sécurité alimentaire","MAC","Chine - RAS de Macao","6125","Valeur","21032","Stabilité politique et absence de violence/terrorisme (indice)","2016","2016","indice","1.42","X","Sources internationales sûres"
"FS","Données de la sécurité alimentaire","CHN","Chine, continentale","6125","Valeur","21032","Stabilité politique et absence de violence/terrorisme (indice)","2016","2016","indice","-0.52","X","Sources internationales sûres"
"FS","Données de la sécurité alimentaire","TWN","Chine, Taiwan Province de","6125","Valeur","21032","Stabilité politique et absence de violence/terrorisme (indice)","2016","2016","indice","0.93","X","Sources internationales sûres"
"FS","Données de la sécurité alimentaire","CYP","Chypre","6125","Valeur","21032","Stabilité politique et absence de violence/terrorisme (indice)","2016","2016","indice","0.57","X","Sources internationales sûres"
"FS","Données de la sécurité alimentaire","COL","Colombie","6125","Valeur","21032","Stabilité politique et absence de violence/terrorisme (indice)","2016","2016","indice","-0.96","X","Sources internationales sûres"
"FS","Données de la sécurité alimentaire","COM","Comores","6125","Valeur","21032","Stabilité politique et absence de violence/terrorisme (indice)","2016","2016","indice","-0.02","X","Sources internationales sûres"
"FS","Données de la sécurité alimentaire","COG","Congo","6125","Valeur","21032","Stabilité politique et absence de violence/terrorisme (indice)","2016","2016","indice","-0.57","X","Sources internationales sûres"
"FS","Données de la sécurité alimentaire","CRI","Costa Rica","6125","Valeur","21032","Stabilité politique et absence de violence/terrorisme (indice)","2016","2016","indice","0.75","X","Sources internationales sûres"
"FS","Données de la sécurité alimentaire","CIV","Côte d'Ivoire","6125","Valeur","21032","Stabilité politique et absence de violence/terrorisme (indice)","2016","2016","indice","-0.9","X","Sources internationales sûres"
"FS","Données de la sécurité alimentaire","HRV","Croatie","6125","Valeur","21032","Stabilité politique et absence de violence/terrorisme (indice)","2016","2016","indice","0.68","X","Sources internationales sûres"
"FS","Données de la sécurité alimentaire","CUB","Cuba","6125","Valeur","21032","Stabilité politique et absence de violence/terrorisme (indice)","2016","2016","indice","0.62","X","Sources internationales sûres"
"FS","Données de la sécurité alimentaire","DNK","Danemark","6125","Valeur","21032","Stabilité politique et absence de violence/terrorisme (indice)","2016","2016","indice","0.85","X","Sources internationales sûres"
"FS","Données de la sécurité alimentaire","DJI","Djibouti","6125","Valeur","21032","Stabilité politique et absence de violence/terrorisme (indice)","2016","2016","indice","-0.63","X","Sources internationales sûres"
"FS","Données de la sécurité alimentaire","DMA","Dominique","6125","Valeur","21032","Stabilité politique et absence de violence/terrorisme (indice)","2016","2016","indice","1.13","X","Sources internationales sûres"
"FS","Données de la sécurité alimentaire","EGY","Égypte","6125","Valeur","21032","Stabilité politique et absence de violence/terrorisme (indice)","2016","2016","indice","-1.42","X","Sources internationales sûres"
"FS","Données de la sécurité alimentaire","SLV","El Salvador","6125","Valeur","21032","Stabilité politique et absence de violence/terrorisme (indice)","2016","2016","indice","-0.06","X","Sources internationales sûres"
"FS","Données de la sécurité alimentaire","ARE","Émirats arabes unis","6125","Valeur","21032","Stabilité politique et absence de violence/terrorisme (indice)","2016","2016","indice","0.44","X","Sources internationales sûres"
"FS","Données de la sécurité alimentaire","ECU","Équateur","6125","Valeur","21032","Stabilité politique et absence de violence/terrorisme (indice)","2016","2016","indice","-0.1","X","Sources internationales sûres"
"FS","Données de la sécurité alimentaire","ERI","Érythrée","6125","Valeur","21032","Stabilité politique et absence de violence/terrorisme (indice)","2016","2016","indice","-0.88","X","Sources internationales sûres"
"FS","Données de la sécurité alimentaire","ESP","Espagne","6125","Valeur","21032","Stabilité politique et absence de violence/terrorisme (indice)","2016","2016","indice","0.49","X","Sources internationales sûres"
"FS","Données de la sécurité alimentaire","EST","Estonie","6125","Valeur","21032","Stabilité politique et absence de violence/terrorisme (indice)","2016","2016","indice","0.69","X","Sources internationales sûres"
"FS","Données de la sécurité alimentaire","SWZ","Eswatini","6125","Valeur","21032","Stabilité politique et absence de violence/terrorisme (indice)","2016","2016","indice","-0.49","X","Sources internationales sûres"
"FS","Données de la sécurité alimentaire","USA","États-Unis d'Amérique","6125","Valeur","21032","Stabilité politique et absence de violence/terrorisme (indice)","2016","2016","indice","0.35","X","Sources internationales sûres"
