"","cluster"
"Afghanistan",1
"Afrique du Sud",2
"Albanie",3
"Algérie",4
"Allemagne",5
"Angola",1
"Arabie saoudite",4
"Argentine",2
"Arménie",3
"Australie",2
"Autriche",5
"Azerbaïdjan",4
"Bangladesh",1
"Belgique",5
"Bénin",1
"Bolivie (État plurinational de)",2
"Bosnie-Herzégovine",3
"Botswana",2
"Brésil",2
"Bulgarie",3
"Burkina Faso",1
"Cabo Verde",2
"Cambodge",2
"Cameroun",1
"Canada",5
"Chili",2
"Chine - RAS de Hong-Kong",5
"Chine, continentale",2
"Chine, Taiwan Province de",2
"Chypre",3
"Colombie",2
"Congo",1
"Costa Rica",2
"Côte d'Ivoire",1
"Croatie",3
"Cuba",2
"Danemark",5
"Djibouti",1
"Égypte",4
"El Salvador",2
"Émirats arabes unis",5
"Équateur",2
"Espagne",3
"Estonie",3
"États-Unis d'Amérique",5
"Éthiopie",1
"Fédération de Russie",3
"Finlande",5
"France",5
"Gabon",4
"Géorgie",3
"Ghana",1
"Grèce",3
"Guatemala",2
"Guinée",1
"Guyana",2
"Haïti",1
"Honduras",2
"Hongrie",3
"Inde",1
"Indonésie",2
"Iran (République islamique d')",4
"Iraq",1
"Irlande",5
"Islande",5
"Israël",5
"Italie",5
"Jamaïque",2
"Japon",2
"Jordanie",4
"Kazakhstan",2
"Kenya",1
"Kirghizistan",4
"Koweït",5
"Lettonie",3
"Liban",4
"Libéria",1
"Lituanie",3
"Luxembourg",5
"Macédoine du Nord",3
"Madagascar",1
"Malaisie",2
"Malawi",1
"Maldives",2
"Mali",4
"Malte",3
"Maroc",4
"Maurice",2
"Mauritanie",4
"Mexique",2
"Mongolie",2
"Monténégro",3
"Mozambique",1
"Myanmar",2
"Népal",1
"Nicaragua",2
"Niger",1
"Nigéria",1
"Norvège",5
"Nouvelle-Zélande",2
"Oman",4
"Ouganda",1
"Ouzbékistan",4
"Pakistan",1
"Panama",2
"Paraguay",2
"Pays-Bas",5
"Pérou",2
"Philippines",2
"Pologne",3
"Portugal",3
"République centrafricaine",1
"République de Corée",2
"République de Moldova",3
"République démocratique populaire lao",2
"République dominicaine",2
"République populaire démocratique de Corée",1
"République-Unie de Tanzanie",1
"Roumanie",3
"Royaume-Uni",5
"Rwanda",1
"Sao Tomé-et-Principe",1
"Sénégal",1
"Serbie",3
"Sierra Leone",1
"Slovaquie",3
"Slovénie",3
"Soudan",1
"Sri Lanka",2
"Suède",5
"Suisse",5
"Suriname",2
"Tadjikistan",1
"Tchad",1
"Tchéquie (la)",3
"Thaïlande",2
"Timor-Leste",2
"Togo",1
"Trinité-et-Tobago",2
"Tunisie",4
"Turkménistan",4
"Turquie",4
"Ukraine",3
"Uruguay",2
"Venezuela (République bolivarienne du)",2
"Viet Nam",2
"Yémen",1
"Zambie",1
"Zimbabwe",1
